Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,SUTRO T,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,664,Tone->Tone,FM,5.00,,4.0W,,,,,
1,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
2,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
3,W6TP,146.790000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"W6TP near San Francisco, San Francisco County, California OPEN",,,,
4,W6EE,441.450000,+,5.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"W6EE near San Francisco, San Francisco County, California OPEN",,,,
5,W6TP,443.100000,+,5.000000,Cross,88.5,88.5,114,NN,023,DTCS->,FM,5.00,,4.0W,"W6TP near San Francisco, San Francisco County, California OPEN",,,,
6,K6KYA,444.850000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6KYA near San Francisco, San Francisco County, California OPEN",,,,
7,N6CDF,444.925000,+,5.000000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"N6CDF near San Francisco, San Francisco County, California OPEN",,,,
8,K6TW,444.725000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6TW near San Francisco, San Francisco County, California OPEN",,,,
9,DOWNTOW,442.075000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"N6MVT near San Francisco, San Francisco County, California OPEN Link PL 162.2.",,,,
10,TWIN PE,442.050000,+,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WA6GG near San Francisco, San Francisco County, California OPEN",,,,
11,NO1PC,441.025000,+,5.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"NO1PC near San Francisco, San Francisco County, California OPEN",,,,
12,K6CV,440.700000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6CV near Brisbane, San Mateo County, California OPEN",,,,
13,WD6INC,146.835000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WD6INC near Daly City, San Mateo County, California OPEN",,,,
14,WOLFBAC,442.525000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6ER near Sausalito, Marin County, California OPEN",,,,
15,WA6EUZ,444.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WA6EUZ near Sausalito, Marin County, California CLOSED",,,,
16,K6DNA,441.250000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6DNA near South San Francisco, San Francisco County, California OPEN",,,,
17,N6MNV,442.700000,+,5.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"N6MNV near South San Francisco, San Francisco County, California OPEN",,,,
18,KG6TN,443.925000,+,5.000000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"KG6TN near South San Francisco, San Francisco County, California OPEN",,,,
19,PIXAR A,444.812500,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6PXR near Emeryville, Alameda County, California OPEN",,,,
20,W6BUR,146.670000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"W6BUR near Oakland, Alameda County, California OPEN",,,,
21,WB6NDJ,146.880000,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WB6NDJ near Oakland, Alameda County, California OPEN",,,,
22,OAKLAND,147.210000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WB6TCS near Oakland, Alameda County, California OPEN <u>IRLP</u><br> Connect- [node nbr] / disconnect- 73<!--<u>EchoLink</u><br> Connect- [node nbr] / disconnect- #<br> EchoLink connections are restricted to (-R) repeaters and (-L) links. Inactivity timer is 90 seconds. -->",,,,
23,OAKLAND,442.250000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"KD6QDW near Oakland, Alameda County, California OPEN",,,,
24,W6YOP,441.475000,+,5.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"W6YOP near Oakland, Alameda County, California OPEN",,,,
25,WB6NDJ,442.400000,+,5.000000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WB6NDJ near Oakland, Alameda County, California OPEN",,,,
26,WB6SHU,443.375000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WB6SHU near Oakland, Alameda County, California OPEN",,,,
27,N6QOP,443.475000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"N6QOP near Oakland, Alameda County, California OPEN",,,,
28,W6MTF,443.875000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"W6MTF near Oakland, Alameda County, California CLOSED",,,,
29,WW6BAY,443.975000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WW6BAY near Oakland, Alameda County, California OPEN",,,,
30,OAKLAND,444.250000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WB6TCS near Oakland, Alameda County, California OPEN",,,,
31,,444.650000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"near Oakland, Alameda County, California CLOSED",,,,
32,W6YOP,444.775000,+,5.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"W6YOP near Oakland, Alameda County, California OPEN",,,,
33,W6RCA,441.225000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"W6RCA near Oakland, Alameda County, California OPEN",,,,
34,AC6OT,443.350000,+,5.000000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"AC6OT near Oakland, Alameda County, California OPEN",,,,
35,W6MTF,441.425000,+,5.000000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"W6MTF near Oakland, Alameda County, California OPEN",,,,
36,ALAMEDA,444.575000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6QLF near Alameda, Alameda County, California OPEN Located above Alameda Hospital @ 120', Low power: 7 Watts, covering the City of Alameda.",,,,
37,KF6ALA,147.825000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"KF6ALA near Alameda, Alameda County, California OPEN",,,,
38,CITY HA,440.550000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6PVJ near San Bruno, San Mateo County, California OPEN",,,,
39,K6GOD,440.175000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6GOD near Berkeley, Alameda County, California CLOSED",,,,
40,WB6WTM,440.400000,+,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WB6WTM near Berkeley, Alameda County, California OPEN",,,,
41,WB6IXH,440.825000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WB6IXH near Berkeley, Alameda County, California CLOSED",,,,
42,WA6ZTY,442.275000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WA6ZTY near Berkeley, Alameda County, California OPEN",,,,
43,N6BRK,440.900000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"N6BRK near Berkeley, Alameda County, California OPEN",,,,
44,N6GVI,444.700000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"N6GVI near El Cerrito, Contra Costa County, California CLOSED",,,,
45,WA6DUR,442.150000,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"WA6DUR near Richmond, Contra Costa County, California OPEN",,,,
46,GRIZZLY,145.290000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"KB6LED near Berkeley, Alameda County, California OPEN",,,,
47,GRIZZLY,442.725000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"K6DJR near Berkeley, Alameda County, California CLOSED",,,,
48,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
49,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
50,FRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
51,FRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
52,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
53,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
54,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
55,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
56,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
57,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
58,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
59,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
60,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
61,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
62,GMRS 1,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
63,GMRS 2,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
64,GMRS 3,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
65,GMRS 4,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
66,GMRS 5,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
67,GMRS 6,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
68,GMRS 7,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
69,GMRS 8,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
70,GMRS 9,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
71,GMRS 10,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
72,GMRS 11,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
73,GMRS 12,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
74,GMRS 13,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
75,GMRS 14,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
76,GMRS 15,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
77,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
78,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
79,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
80,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
81,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
82,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
83,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
84,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
85,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
86,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
